SKU,MPN,productName,price,stock
3533,DZ5CA162,"Puntera Tubular P/Lengueta 16mm2 12mm x1u Blanca",0.645000,0.0000
9840,AR1MA0198,"ANILLOS IDENTIFIC. SCHNEIDER X200 SIMBOLO +",7.440000,1.0000
7885,NSYSPF10100,"ZOCALO FRONTAL P/ GABINETE 1000mm ALT:100mm (x 2 UNI)",99.876000,0.0000
8029,ZB2BE101,"Bloque De Contactos P/XAC 1NA",21.050000,22.0000
9357,XALD02,"CAJA XALD PCA GRIS VACIA PARA 2 ELEMENTOS",34.325000,8.0000
10131,28903,"INTERR. MANUAL INS63 4X63A-FA",173.488000,0.0000
8129,LRD08,"RELE TERMICO SCH P/CONTACTOR 2.5-4A P/D09-38",68.259000,2.0000
9568,NSYPLM54G,"Gabinete Estanco Polyester IP66 S/Bandeja Gris 530alx430x200mm",179.450000,3.0000
15069,LADS2,"TEMPORIZADOR NEUMATICO 1-30SEG 1NA+1NC LC1D/F",83.775000,0.0000
15864,NSYCL405CRN,"Cierre Llave CLL/CR-CRS-CRN",8.807000,0.0000
7397,NSYCVF165M230PF,"VENTILADOR CON FILTRO 220Vca 165m3/h 223x223mm",128.650000,21.0000
18247,NSYSFBK,"KIT DE UNION SF STANDARD",62.088000,7.0000
20901,LV429390,"BOBINA DE APERTURA MX P/ NSX100-630 24VCC",148.700000,1.0000
20909,HMISTU855,"Panel Magelis STU 5,7"" 22MM Touch",1350.432000,28.0000
21239,LV429371,"*ENCLAVAMIENTO FIJO MANDO DIRECTO 3 CANDADOS",36.639000,0.0000
21042,GV2ME04,"Guardamotor Magnetotérmico GV2 3P 0,40-0,63A 100kA",100.833000,22.0000
21334,XB4BG03,"Cerradura XB4 Metálica 3 Posiciones Fijas 2NA",172.438000,10.0000
21204,PKF32G434,"TOMA IND. 32A 4P 380V EMBUTIR REC IP44 SCHNEIDE",25.793000,25.0000
21197,PKE16M435,"Ficha Industrial 16A 5P 380V Alargue IP44",8.290000,2.0000
21343,XB4BK124B5,"Perilla XB4 Lum 2 Posiciones Fijas 1NA+1NC 24V Led Rojo",116.063000,0.0000
21347,XB4BS8445,"Pulsador Hongo XB4 Metálico 1NA+1NC Emergencia Pulsar-Girar",109.950000,32.0000
21352,XB4BVB4,"OJO DE BUEY XB4 MET 24V ROJO",40.950000,28.0000
21366,XB4BW34M5,"PULSADOR XB4 MET LUM LED 220V 1+1 ROJO",146.600000,0.0000
21424,XB7NW37B1,"PULSADOR XB7 PCO LUM 24V 1NA TRANSPARENTE",30.575000,0.0000
21602,XPEM110,"PEDALERA SIN CAPOTA AZUL 1POS 1NA+1NC",395.475000,0.0000
21780,TWDFCW30K,"CABLE 16 VIAS EXPANSION 3 M HILOS LIBRES",45.588000,12.0000
21731,TM241C24T,"CPU M241 (14DI/10DO) 1xMB RTU 24VCC",654.575000,0.0000
21847,A9L20501,"LIMITADOR IPRD20R 1P+N CLASE II",235.558000,1.0000
21840,XCSA501,"Límite De Carrera Seg Metal 1NC+2NA",156.925000,3.0000
21986,XCSDMC5902,"*ACTUADOR MAGNETICO SIL3 NC + NA CABLE 2M",219.105000,0.0000
22284,SR3B261FU,"Zelio Logic 220V 16ED + 10SR C/Display",527.837000,0.0000
22919,ATV12HU15M2,"Variador ATV12 220VCA LO: 1,5kW/2HP HO: 1,5kW/2HP C/Filtro MB RTU",435.240000,19.0000
26216,SRC3000XLI,"UPS APC SMART RC 3000VA 230V",4134.263000,0.0000
22291,RXM4AB2B7,"Relé 4 Inversores 24VCA 6A C/Led",11.913000,36.0000
26276,XVBC5B4,"ELEMENTO DE LUZ INTERM P/COLUMNA LED ROJA 24V",221.850000,0.0000
26267,XACA06,"CAJA COLGANTE XAC 6 PERFORACIONES",358.788000,0.0000
26339,BMXRMS008MPF,"TARJETA DE MEMORIA M340 8MB (ARCH: 16MB)",1672.209000,0.0000
26332,GV2G454,"Peine 63A 3 Polos P/4 Derivaciones 54mm",45.575000,2.0000
27570,XALK178F,"CAJA PLASTICA EMERG. AMARILLA CON HONGO TRIG 2NC",105.075000,0.0000
26970,METSEPM5340,"MEDIDOR POWERLOGIC PM500 C0,5 HASTA 31H MBRTCP/IP 2ED+2SD",1841.760000,4.0000
3821,5SX1120-7,"Interruptor Termomagnético 5SX11 1x20A 3kA Curva C",6.768000,2.0000
